,paperID,pos_score,sent_pos,text
111,pagesOfTextToDisplay-metadataToHighlight.json,0.3866047263145447,111,"At the decoding stage, the spotlight module is first engaged to handle the ""where-to-look"" problem."
286,pagesOfTextToDisplay-metadataToHighlight.json,0.22133202850818634,286,"Moreover, all models reach their lowest validation loss before 30 epochs, with STNR and STNM both come to their best point earlier."
227,pagesOfTextToDisplay-metadataToHighlight.json,0.19963397085666656,227,5.1.2 STN setting.
232,pagesOfTextToDisplay-metadataToHighlight.json,0.19963397085666656,232,5.1.3 Training setting.
191,pagesOfTextToDisplay-metadataToHighlight.json,0.1941753625869751,191,b) Recurrent control module.
117,pagesOfTextToDisplay-metadataToHighlight.json,0.16701015830039978,117,in formula transcribing task.
21,pagesOfTextToDisplay-metadataToHighlight.json,0.15760868787765503,21,https://doi.
174,pagesOfTextToDisplay-metadataToHighlight.json,0.15760868787765503,174,coordinate.
280,pagesOfTextToDisplay-metadataToHighlight.json,0.10353658348321915,280,5.2.2 Validation loss.
225,pagesOfTextToDisplay-metadataToHighlight.json,0.07765626907348633,225,"From each training set, we also sample 10% images as validation set."
16,pagesOfTextToDisplay-metadataToHighlight.json,0.06721291691064835,16,Request permissions from permissions@acm.org.
238,pagesOfTextToDisplay-metadataToHighlight.json,0.06323693692684174,238,5.1.4 Comparison methods.
290,pagesOfTextToDisplay-metadataToHighlight.json,0.06248842552304268,290,5.2.3 Spotlight visualization.
301,pagesOfTextToDisplay-metadataToHighlight.json,0.062043994665145874,301,wrong prediction.
304,pagesOfTextToDisplay-metadataToHighlight.json,0.05514894798398018,304,5.2.4 Discussion.
272,pagesOfTextToDisplay-metadataToHighlight.json,0.040631793439388275,272,"From the results, we can get several observations."
148,pagesOfTextToDisplay-metadataToHighlight.json,0.0231536366045475,148, 1 1 1 . . .
76,pagesOfTextToDisplay-metadataToHighlight.json,0.02036927454173565,76,tokens per image Avg.
20,pagesOfTextToDisplay-metadataToHighlight.json,0.013453084044158459,20,"ACM, New York, NY, USA, 10 pages."
188,pagesOfTextToDisplay-metadataToHighlight.json,0.013174287043511868,188,STNR with Recurrent modeling.
18,pagesOfTextToDisplay-metadataToHighlight.json,0.010598444379866123,18,ACM ISBN 978-1-4503-5552-0/18/08. . .
269,pagesOfTextToDisplay-metadataToHighlight.json,0.009559717029333115,269,5.2 Experimental Results 5.2.1 Transcribing performance.
223,pagesOfTextToDisplay-metadataToHighlight.json,0.00866332184523344,223,5.1 Experimental Setup 5.1.1 Data partition and preprocessing.
