,sent_id,text,label
0,pagesOfTextToDisplay-1.json_0,"Wrangler: Interactive Visual Specification of Data Transformation Scripts Sean Kandel ∗ , Andreas Paepcke ∗ , Joseph Hellerstein † and Jeffrey Heer ∗ ∗ Stanford University † University of California, Berkeley skandel, paepcke, jheer@cs.stanford.edu hellerstein@cs.berkeley.edu ABSTRACT Though data analysis tools continue to improve, analysts still expend an inordinate amount of time and effort manipulating data and assessing data quality issues.",
1,pagesOfTextToDisplay-1.json_1,"Such ""data wrangling"" regularly involves reformatting data values or layout, correcting erroneous or missing values, and integrating multiple data sources.",
2,pagesOfTextToDisplay-1.json_2,"These transforms are often difficult to specify and difficult to reuse across analysis tasks, teams, and tools.",
3,pagesOfTextToDisplay-1.json_3,"In response, we introduce Wrangler , an interactive system for creating data transformations.",
4,pagesOfTextToDisplay-1.json_4,"Wrangler combines direct manipulation of visualized data with automatic inference of relevant transforms, enabling analysts to iteratively explore the space of applicable operations and preview their effects.",
5,pagesOfTextToDisplay-1.json_5,"Wrangler leverages semantic data types (e.g., geographic locations, dates, classification codes) to aid validation and type conversion.",
6,pagesOfTextToDisplay-1.json_6,"Interactive histories support review, refinement, and annotation of transformation scripts.",
7,pagesOfTextToDisplay-1.json_7,"User study results show that Wrangler significantly reduces specification time and promotes the use of robust, auditable transforms instead of manual editing.",
8,pagesOfTextToDisplay-1.json_8,"Author Keywords Data cleaning, transformation, validation, visualization, programming by demonstration, mixed-initiative interfaces.",
9,pagesOfTextToDisplay-1.json_9,"ACM Classification Keywords H.5.2 Information Interfaces and Presentation: UI INTRODUCTION Despite significant advances in technologies for data management and analysis, it remains time-consuming to inspect a data set and mold it to a form that allows meaningful analysis to begin.",
10,pagesOfTextToDisplay-1.json_10,"Analysts must regularly restructure data to make it palatable to databases, statistics packages, and visualization tools.",
11,pagesOfTextToDisplay-1.json_11,"To improve data quality, analysts must also identify and address issues such as misspellings, missing data, unresolved duplicates, and outliers.",
12,pagesOfTextToDisplay-1.json_12,Our own informal interviews with data analysts have found that these types of transforms constitute the most tedious component of their analytic process.,
13,pagesOfTextToDisplay-1.json_13,Others estimate that data cleaning is responsible for up to 80% of the development time and cost in Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page.,
14,pagesOfTextToDisplay-1.json_14,"To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee.",
15,pagesOfTextToDisplay-1.json_15,"CHI 2011 , May 7–12, 2011, Vancouver, BC, Canada.",
16,pagesOfTextToDisplay-1.json_16,Copyright 2011 ACM 978-1-4503-0267-8/11/05...$5.00.,
17,pagesOfTextToDisplay-1.json_17,data warehousing projects [4].,
18,pagesOfTextToDisplay-1.json_18,"Such ""data wrangling"" often requires writing idiosyncratic scripts in programming languages such as Python and Perl, or extensive manual editing using interactive tools such as Microsoft Excel.",
19,pagesOfTextToDisplay-1.json_19,"Moreover, this hurdle discourages many people from working with data in the first place.",
20,pagesOfTextToDisplay-1.json_20,"Sadly, when it comes to the practice of data analysis, ""the tedium is the message.""",
21,pagesOfTextToDisplay-1.json_21,Part of the problem is that reformatting and validating data requires transforms that can be difficult to specify and evaluate.,
22,pagesOfTextToDisplay-1.json_22,"For instance, analysts often split data into meaningful records and attributes—or validate fields such as dates and addresses—using complex regular expressions that are error-prone and tedious to interpret [2, 24].",
23,pagesOfTextToDisplay-1.json_23,"Converting coded values, such as mapping FIPS codes to U.S. state names, requires integrating data from one or more external tables.",
24,pagesOfTextToDisplay-1.json_24,The effects of transforms that aggregate data or rearrange data layout can be particularly hard to conceptualize ahead of time.,
25,pagesOfTextToDisplay-1.json_25,"As data sets grow in size and complexity, discovering data quality issues may be as difficult as correcting them.",
26,pagesOfTextToDisplay-1.json_26,"Of course, transforming and cleaning a data set is only one step in the larger data lifecycle.",
27,pagesOfTextToDisplay-1.json_27,Data updates and evolving schemas often necessitate the reuse and revision of transformations.,
28,pagesOfTextToDisplay-1.json_28,Multiple analysts might use transformed data and wish to review or refine the transformations that were previously applied; the importance of capturing data provenance is magnified when data and scripts are shared.,
29,pagesOfTextToDisplay-1.json_29,"As a result, we contend that the proper output of data wrangling is not just transformed data, but an editable and auditable description of the data transformations applied.",
30,pagesOfTextToDisplay-1.json_30,"This paper presents the design of Wrangler , a system for interactive data transformation.",
31,pagesOfTextToDisplay-1.json_31,We designed Wrangler to help analysts author expressive transformations while simplifying specification and minimizing manual repetition.,
32,pagesOfTextToDisplay-1.json_32,"To do so, Wrangler couples a mixed-initiative user interface with an underlying declarative transformation language .",
33,pagesOfTextToDisplay-1.json_33,"With Wrangler, analysts specify transformations by building up a sequence of basic transforms.",
34,pagesOfTextToDisplay-1.json_34,"As users select data, Wrangler suggests applicable transforms based on the current context of interaction.",
35,pagesOfTextToDisplay-1.json_35,Programming-by-demonstration techniques help analysts specify complex criteria such as regular expressions.,
36,pagesOfTextToDisplay-1.json_36,"To ensure relevance, Wrangler enumerates and rank-orders possible transforms using a model that incorporates user input with the frequency, diversity, and specification difficulty of applicable transform types.",
37,pagesOfTextToDisplay-1.json_37,"To convey the effects of data transforms, Wrangler providesData Wrangler Export Import Split data repeatedly on newline into rows Split split repeatedly on ',' Promote row 0 to header Delete row 7 Delete empty rows Fill row 7 by copying values from above Fill row 7 by copying values from below Fold using row 7 as a key Fold Year using row 7 as a key Transform Script Text Split Cut Columns Fill Drop Rows Delete Fill Promote Table Fold Unfold Clear Year Property_crime_rate 0 Reported crime in Alabama 1 2 2004 4029.3 3 2005 3900 4 2006 3937 5 2007 3974.9 6 2008 4081.9 7 8 Reported crime in Alaska 9 10 2004 3370.9 11 2005 3615 12 2006 3582 13 2007 3373.9 14 2008 2928.3 15 16 Reported crime in Arizona 17 18 2004 5073.3 19 2005 4827 20 2006 4741.6 21 2007 4502.6 22 2008 4087.3 23 24 Reported crime in Arkansas 25 Figure 1.",
38,pagesOfTextToDisplay-1.json_38,The Wrangler Interface.,
39,pagesOfTextToDisplay-1.json_39,"The left panel contains (from top-to-bottom) a history of transforms, a transform selection menu, and automatically suggested transforms based on the current selection.",
40,pagesOfTextToDisplay-1.json_40,Bold text within the transform descriptions indicate parameters that can be clicked and revised.,
41,pagesOfTextToDisplay-1.json_41,The right panel contains an interactive data table; above each column is a data quality meter.,
42,pagesOfTextToDisplay-1.json_42,short natural language descriptions —which users can refine via interactive parameters—and visual previews of transform results.,
43,pagesOfTextToDisplay-1.json_43,These techniques enable analysts to rapidly navigate and assess the space of viable transforms.,
44,pagesOfTextToDisplay-1.json_44,"As analysts transform data, their steps are recorded in a script to facilitate reuse and provide documentation of data provenance.",
45,pagesOfTextToDisplay-1.json_45,"Wrangler's interactive history viewer supports review, refinement, and annotation of these scripts.",
46,pagesOfTextToDisplay-1.json_46,Wrangler's high-level language supports a variety of runtime platforms: Wrangler scripts can be run in a web browser using JavaScript or translated into MapReduce or Python code.,
47,pagesOfTextToDisplay-1.json_47,We also present a controlled user study comparing Wrangler and Excel across a set of data wrangling tasks.,
48,pagesOfTextToDisplay-1.json_48,We find that Wrangler significantly reduces specification time and promotes the use of robust transforms rather than manual editing.,
49,pagesOfTextToDisplay-1.json_49,Wrangler is one piece of a larger effort to address bottlenecks in the data lifecycle by integrating insights and methods from the HCI and database communities.,
50,pagesOfTextToDisplay-1.json_50,RELATED WORK The database and machine learning communities have contributed a number of algorithmic techniques for aiding data cleaning and integration.,
51,pagesOfTextToDisplay-1.json_51,"These techniques include methods for detecting erroneous values [10, 11], information extraction [1, 25], entity resolution [6], type inference [7], and schema matching [9, 21].",
52,pagesOfTextToDisplay-1.json_52,In the Wrangler interface we seek to surface such techniques in an accessible manner.,
